,Region,rooms,Area,Price,Year,elevator,status,plot,price_per_area,region_value
511,Intiö,3,80.0,129000,1979,yes,fair,own,1612.5,2198.111382272284
512,Värttö,3,74.0,262000,2007,yes,good,own,3540.5405405405404,2482.4331660390353
513,Heinäpää,3,67.5,145000,1960,no,good,rent,2148.1481481481483,2230.320550345751
514,Keskusta,3,77.0,349400,2021,yes,good,own,4537.662337662337,3179.3227764073595
515,Heinäpää,3,72.5,170270,1970,yes,good,own,2348.551724137931,2230.320550345751
516,"Kiiminki, keskusta",3,73.0,178000,2013,yes,good,own,2438.3561643835615,2438.3561643835615
517,Mäntylä,3,73.0,145000,1981,no,good,rent,1986.3013698630136,1833.2617836654445
518,Kaukovainio,3,75.5,81000,1966,no,good,rent,1072.8476821192053,1336.6360477158462
519,Kaukovainio,3,70.0,69000,1969,no,good,rent,985.7142857142857,1336.6360477158462
520,Raksila,3,79.0,203000,1970,yes,good,own,2569.6202531645567,2171.2408561588295
521,Kaijonharju,3,68.0,72000,1984,yes, ,rent,1058.8235294117646,1037.4877902854425
522,Koskela,3,70.0,70000,1968,no,good,rent,1000.0,1076.4021129400965
523,Kiviharju,3,67.0,125900,2007,yes,good,rent,1879.1044776119404,1879.1044776119404
524,Toppilansalmi,3,66.0,279000,2017,yes,good,rent,4227.272727272727,3750.2809593953384
525,Myllytulli,3,69.5,168000,1992,yes,good,rent,2417.26618705036,3141.0285702407214
526,Intiö,3,62.0,132100,1952,yes,good,own,2130.6451612903224,2198.111382272284
527,Limingantulli,3,77.0,215000,2008,yes,good,own,2792.2077922077924,3483.5066416634213
528,Toppilansalmi,3,78.0,285000,2019,yes,good,rent,3653.846153846154,3750.2809593953384
529,Myllyoja,3,68.0,56000,1976,no,good,rent,823.5294117647059,1268.1674783372748
530,Värttö,3,86.0,160000,1973,no,fair,own,1860.4651162790697,2482.4331660390353
531,Myllytulli,3,62.0,185000,1996,yes,good,own,2983.8709677419356,3141.0285702407214
532,Tuira,3,78.5,135000,1981,yes,good,rent,1719.7452229299363,2556.6371812766356
533,Etu-lyötty,3,66.0,263000,2008,yes,good,own,3984.848484848485,3267.6551538516082
534,Metsokangas,3,55.0,121500,2012,no,good,rent,2209.090909090909,2906.7292824145966
535,Hollihaka,3,83.0,235500,1981,yes,good,own,2837.3493975903616,2931.770360350811
536,Keskusta,3,72.0,215000,1999,yes,good,own,2986.1111111111113,3179.3227764073595
537,Keskusta,3,82.5,155000,1970,yes,fair,own,1878.7878787878788,3179.3227764073595
538,Tuira,3,71.0,73500,1962,yes,fair,rent,1035.2112676056338,2556.6371812766356
539,Etu-lyötty,3,70.0,235000,2006,yes,good,own,3357.1428571428573,3267.6551538516082
540,Patamäki,3,70.5,110000,1990,no,good,own,1560.2836879432625,1560.2836879432625
